Sequence_Name,Date
CAMB-7FE20,2020-04-19
CAMB-821D6,2020-04-21
CAMB-82C3F,2020-04-24
CAMB-1AC102,2020-04-29
CAMB-1AC366,2020-05-01
CAMB-1AD7F0,2020-05-04
CAMB-1B0E40,2020-05-11
CAMB-1B1A4B,2020-05-13
CAMB-1B2093,2020-05-18
CAMB-1B2CF9,2020-05-20
